objectid,title,creator,date,description,subject,location,latitude,longitude,source,display_template,type,format,language,rights,rightsstatement,filename,identifier,object_location,image_small,image_thumb
col008_mp_1,Gene Hiner with Police and Sheriff Deputies,unknown,1958,Gene Hiner with Police and Sheriff Deputies; possibly circa 1958 when Hiner was with the Ada County Sheriff's Office,Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_001.jpg,col008_meridianpolice_001,objects/col008_meridianpolice_001.jpg,objects/small/col008_meridianpolice_001_sm.jpg,objects/thumbs/col008_meridianpolice_001_th.jpg
col008_mp_2,Chief of Police-Gene Hiner,Hiner Family,1963,"Picture of Police Chief Gene Hiner, circa 1963, the year he became Meridian's Chief of Police",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_002.jpg,col008_meridianpolice_002,objects/col008_meridianpolice_002.jpg,objects/small/col008_meridianpolice_002_sm.jpg,objects/thumbs/col008_meridianpolice_002_th.jpg
col008_mp_3,Police Officer Charles Stuart,Horton Studio,1963,"Police Officer Charles Stuart, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_003.jpg,col008_meridianpolice_003,objects/col008_meridianpolice_003.jpg,objects/small/col008_meridianpolice_003_sm.jpg,objects/thumbs/col008_meridianpolice_003_th.jpg
col008_mp_4,Police Officer Lowell Gass,Horton Studio,1963,"Police Officer Lowell Gass, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_004.jpg,col008_meridianpolice_004,objects/col008_meridianpolice_004.jpg,objects/small/col008_meridianpolice_004_sm.jpg,objects/thumbs/col008_meridianpolice_004_th.jpg
col008_mp_5,Police Officer Roy Woods,Horton Studio,1963,"Police Officer Roy Woods, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_005.jpg,col008_meridianpolice_005,objects/col008_meridianpolice_005.jpg,objects/small/col008_meridianpolice_005_sm.jpg,objects/thumbs/col008_meridianpolice_005_th.jpg
col008_mp_6,Police Officer Bob Mitch,Horton Studio,1963,"Police Officer Bob Mitch, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_006.jpg,col008_meridianpolice_006,objects/col008_meridianpolice_006.jpg,objects/small/col008_meridianpolice_006_sm.jpg,objects/thumbs/col008_meridianpolice_006_th.jpg
col008_mp_7,Police Officer Wally Everist,Horton Studio,1963,"Police Officer Wally Everist, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_007.jpg,col008_meridianpolice_007,objects/col008_meridianpolice_007.jpg,objects/small/col008_meridianpolice_007_sm.jpg,objects/thumbs/col008_meridianpolice_007_th.jpg
col008_mp_8,Police Officer Neal Hudson,Horton Studio,1963,"Police Officer Neal Hudson, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_008.jpg,col008_meridianpolice_008,objects/col008_meridianpolice_008.jpg,objects/small/col008_meridianpolice_008_sm.jpg,objects/thumbs/col008_meridianpolice_008_th.jpg
col008_mp_9,Police Officer Don Sneddon,Horton Studio,1963,"Police Officer Don Sneddon, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_009.jpg,col008_meridianpolice_009,objects/col008_meridianpolice_009.jpg,objects/small/col008_meridianpolice_009_sm.jpg,objects/thumbs/col008_meridianpolice_009_th.jpg
col008_mp_10,Police Officer Ted Dennis,Horton Studio,1963,"Police Officer Ted Dennis, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_010.jpg,col008_meridianpolice_010,objects/col008_meridianpolice_010.jpg,objects/small/col008_meridianpolice_010_sm.jpg,objects/thumbs/col008_meridianpolice_010_th.jpg
